Nombre,direccion_completa,Departamento,Localidad,Longitud,Latitud,Ambito
PARQUE DEL PLATA,"CALLE 10 ENTRE S Y T (ACCESO KM 49), ",CANELONES,PARQUE DEL PLATA,-55.72829967,-34.75140699,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
EL PINAR Nº 2,"AUSTRIA Y 18 DE JULIO KM.30, ",CANELONES,CIUDAD DE LA COSTA,-55.92152802,-34.79265895,Urbano
